Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.8991664799075656,0.29936,3.0743289056777954,0.0956
1,1.7495291089502971,0.3599466666666667,2.7554393020629884,0.1136
2,1.68125908490075,0.38980888888888887,3.089980994415283,0.1152
3,1.6440164706505669,0.40412,2.8030470352172854,0.1012
4,1.6165866375139024,0.41412444444444446,3.124133154678345,0.0996
5,1.5943435251490274,0.42391555555555555,3.21798550863266,0.0998
6,1.575385327428182,0.43088,2.990088830757141,0.0976
7,1.5572813901901246,0.4372933333333333,2.771427592086792,0.101
8,1.5452998891448975,0.44197333333333333,2.917853347015381,0.1094
9,1.5354930185148452,0.4475822222222222,2.907149073791504,0.1094
10,1.5261213194613987,0.4497244444444444,2.5420672550201417,0.1148
